"date";"consumo";"Periodo"
1980-01-01;4806;1
1980-02-01;4808;2
1980-03-01;4833;3
1980-04-01;4901;4
1980-05-01;5009;5
1980-06-01;5162;6
1980-07-01;5149;7
1980-08-01;5432;8
1980-09-01;5369;9
1980-10-01;5391;10
1980-11-01;5505;11
1980-12-01;5121;12
1981-01-01;5235;13
1981-02-01;5031;14
1981-03-01;5230;15
1981-04-01;5067;16
1981-05-01;5175;17
1981-06-01;5059;18
1981-07-01;5119;19
1981-08-01;5233;20
1981-09-01;4973;21
1981-10-01;4994;22
1981-11-01;5128;23
1981-12-01;4906;24
1982-01-01;4875;25
1982-02-01;4836;26
1982-03-01;5039;27
1982-04-01;5388;28
1982-05-01;5285;29
1982-06-01;5399;30
1982-07-01;5496;31
1982-08-01;5645;32
1982-09-01;5597;33
1982-10-01;5548;34
1982-11-01;5494;35
1982-12-01;5287;36
1983-01-01;5132;37
1983-02-01;4994;38
1983-03-01;5143;39
1983-04-01;5722;40
1983-05-01;5553;41
1983-06-01;5933;42
1983-07-01;5750;43
1983-08-01;5866;44
1983-09-01;6070;45
1983-10-01;6017;46
1983-11-01;5961;47
1983-12-01;5898;48
1984-01-01;5834;49
1984-02-01;6161;50
1984-03-01;6353;51
1984-04-01;6160;52
1984-05-01;6507;53
1984-06-01;6676;54
1984-07-01;6777;55
1984-08-01;7101;56
1984-09-01;7239;57
1984-10-01;7093;58
1984-11-01;7412;59
1984-12-01;7142;60
1985-01-01;7084;61
1985-02-01;7219;62
1985-03-01;7225;63
1985-04-01;7547;64
1985-05-01;7310;65
1985-06-01;7674;66
1985-07-01;7376;67
1985-08-01;7960;68
1985-09-01;7825;69
1985-10-01;7846;70
1985-11-01;7974;71
1985-12-01;7800;72
1986-01-01;7530;73
1986-02-01;7364;74
1986-03-01;7190;75
1986-04-01;7647;76
1986-05-01;8325;77
1986-06-01;8235;78
1986-07-01;8285;79
1986-08-01;8719;80
1986-09-01;8538;81
1986-10-01;8551;82
1986-11-01;8710;83
1986-12-01;8044;84
1987-01-01;8306;85
1987-02-01;7764;86
1987-03-01;7908;87
1987-04-01;7749;88
1987-05-01;8079;89
1987-06-01;7873;90
1987-07-01;8011;91
1987-08-01;8391;92
1987-09-01;8249;93
1987-10-01;8344;94
1987-11-01;8546;95
1987-12-01;8183;96
1988-01-01;8219;97
1988-02-01;8201;98
1988-03-01;8343;99
1988-04-01;8472;100
1988-05-01;8073;101
1988-06-01;8315;102
1988-07-01;8494;103
1988-08-01;8521;104
1988-09-01;8768;105
1988-10-01;8690;106
1988-11-01;8221;107
1988-12-01;8210;108
1989-01-01;8085;109
1989-02-01;8088;110
1989-03-01;7595;111
1989-04-01;8550;112
1989-05-01;8259;113
1989-06-01;8725;114
1989-07-01;8966;115
1989-08-01;8942;116
1989-09-01;9300;117
1989-10-01;8896;118
1989-11-01;9062;119
1989-12-01;8529;120
1990-01-01;8327;121
1990-02-01;8542;122
1990-03-01;8159;123
1990-04-01;7980;124
1990-05-01;7145;125
1990-06-01;8006;126
1990-07-01;8155;127
1990-08-01;8643;128
1990-09-01;9094;129
1990-10-01;8544;130
1990-11-01;8981;131
1990-12-01;8295;132
1991-01-01;7599;133
1991-02-01;8003;134
1991-03-01;7466;135
1991-04-01;8138;136
